Item,Description,Quantity,Unit Price,Amount,URL
800 l/mm @ 1030nm grating,Transmission grating ,1,745,745,https://wasatchphotonics.com/product/800-lmm-at-1030nm/
KM100C,"Kinematic Mount for up to 1.3"" (33 mm) Tall Rectangular Optics, Right Handed ",1,102.54,102.54,https://www.thorlabs.com/thorproduct.cfm?partnumber=KM100C
MK05,"Mini-Series Kinematic Mirror Mount for 2"" Optics, 4-40 Taps",2,84.87,169.74,https://www.thorlabs.com/thorproduct.cfm?partnumber=MK05
PF05-03-P0,"1/2"" Protected Silver Mirror ",2,32.84,65.68,https://www.thorlabs.com/thorproduct.cfm?partnumber=PF05-03-P01
CP08,"SM1-Threaded 30 mm Cage Plate with Flexure Clamping, 1 Retaining Ring, 8-32 Tap",2,20.99,41.98,https://www.thorlabs.com/thorproduct.cfm?partnumber=CP08
CPB1,"Cage Plate Mounting Base for 30 mm Cage Plates, Imperial",2,16.98,33.96,https://www.thorlabs.com/thorproduct.cfm?partnumber=CPB1
ID5MS,"Mini-Series Post-Mounted Iris, 5.1 mm Max Aperture (6 mm Post, 1.5"" Long)",4,75.21,300.84,https://www.thorlabs.com/thorproduct.cfm?partnumber=ID5MS
MSP05,"0.47"" Pedestal Pillar Post, 4-40 Setscrew and Taps, L = 0.5""",2,19.26,38.52,https://www.thorlabs.com/thorproduct.cfm?partnumber=MSP05
,,,,,
AP45,"45 Angled Mounting Plate, 1/4""-20 Compatible",1,84.41,84.41,https://www.thorlabs.com/thorproduct.cfm?partnumber=AP45
PS1,"Mounting Post Spacer, Height = 1/8""",1,9.09,9.09,https://www.thorlabs.com/thorproduct.cfm?partnumber=PS1
PS2,"Mounting Post Spacer, Height = 1/4""",1,9.74,9.74,https://www.thorlabs.com/thorproduct.cfm?partnumber=PS2
P1.5,"1.5"" Mounting Post, 1/4""-20 Taps, L = 1.5""",1,24.35,24.35,https://www.thorlabs.com/thorproduct.cfm?partnumber=P1.5
PB4,"Studded Pedestal Base Adapter, 1/4""-20 Thread",1,13.74,13.74,https://www.thorlabs.com/thorproduct.cfm?partnumber=PB4
